p_val,avg_log2FC,pct.1,pct.2,p_val_adj,SYMBOL,ENTREZID,ENSEMBL
0,-3.106037888895,0.035,0.165,0,MYL9,10398,ENSG00000101335
0,-2.9946683755567056,0.068,0.266,0,PPBP,5473,ENSG00000163736
0,-2.6889640359055336,0.024,0.123,0,SPARC,6678,ENSG00000113140
0,-2.308356432314667,0.085,0.271,0,NRGN,4900,ENSG00000154146
0,1.6679542042418083,0.305,0.125,0,LAIR2,3904,ENSG00000167618
0,1.6679542042418083,0.305,0.125,0,LAIR2,3904,ENSG00000274084
0,1.6679542042418083,0.305,0.125,0,LAIR2,3904,ENSG00000277335
0,1.6679542042418083,0.305,0.125,0,LAIR2,3904,ENSG00000275819
0,-1.551478637749832,0.077,0.211,0,AREG,374,ENSG00000109321
0,-1.498115601743608,0.165,0.394,0,FKBP5,2289,ENSG00000096060
0,-0.9004683069427024,0.396,0.59,0,CXCR4,7852,ENSG00000121966
0,0.8151526140519239,0.639,0.434,0,RPS4Y1,6192,ENSG00000129824
0,0.7957434380924666,0.801,0.67,0,RPS29,6235,ENSG00000213741
0,0.6186887210547054,0.864,0.817,0,RBFOX2,23543,ENSG00000100320
0,0.6186887210547054,0.864,0.817,0,RBFOX2,23543,ENSG00000277564
0,0.5223450074850167,0.969,0.951,0,RPL39,6170,ENSG00000198918
0,0.4717739875684348,0.934,0.932,0,NKG7,4818,ENSG00000105374
0,0.4684981488126825,0.932,0.909,0,RPS21,6227,ENSG00000171858
0,0.46687589603824886,0.96,0.958,0,RPS27,6232,ENSG00000177954
0,0.4003059993322715,0.961,0.937,0,RPL37,6167,ENSG00000145592
0,0.3827375664943195,0.971,0.954,0,RPL34,6164,ENSG00000109475
0,0.30303165137156984,0.992,0.989,0,B2M,567,ENSG00000166710
0,0.30303165137156984,0.992,0.989,0,B2M,567,ENSG00000273686
5.7970505652708066e-291,0.5487365000681121,0.801,0.731,7.149502462148485e-292,GZMH,2999,ENSG00000100450
5.531534050834144e-292,-5.983167194900851,0.001,0.059,6.822040944893749e-291,IL1R2,7850,ENSG00000115590
2.1208810183201124e-291,0.5072675041184169,0.874,0.829,2.615682559894195e-290,RPL41,6171,ENSG00000229117
7.939800428861833e-271,0.30050845705266127,0.957,0.958,9.7921558689153e-267,RPS28,6234,ENSG00000233927
3.5730469286490544e-256,-0.9595307840122632,0.209,0.365,4.406638777102878e-252,CD55,1604,ENSG00000196352
6.964484066379419e-254,-2.7706927309685225,0.017,0.091,8.589298199065737e-250,F13A1,2162,ENSG00000124491
1.1281381763866764e-246,-2.0945052673186653,0.037,0.126,1.3913328129376876e-242,CLU,1191,ENSG00000120885
9.387768053898158e-241,0.2984908465137499,0.949,0.947,1.15779343408726e-236,RPL11,6135,ENSG00000142676
2.0981993853272495e-234,-0.4858853565135046,0.742,0.844,2.5877093019240966e-230,ZFP36,7538,ENSG00000128016
2.735948956019278e-226,-2.358012368047373,0.027,0.104,3.374245847458575e-222,PF4,5196,ENSG00000163737
1.0663784480746947e-219,-0.751906947917641,0.373,0.52,1.3151645400105208e-215,DDIT4,54541,ENSG00000168209
1.0948174460095888e-213,-1.0921793961222832,0.115,0.234,1.3502383561636262e-209,CEBPD,1052,ENSG00000221869
2.3686057143346318e-213,-2.4710531649557397,0.016,0.081,2.921201427488902e-209,TREML1,340205,ENSG00000161911
1.7603802055866527e-204,0.5086268248146055,0.845,0.776,2.1710769075500187e-200,CD74,972,ENSG00000019582
2.1575225966054633e-204,-0.7576491489531525,0.285,0.43,2.6608726183935183e-200,PRDM1,639,ENSG00000057657
3.413376090560361e-203,0.2727956509340457,0.943,0.932,4.209716732488094e-199,RPL12,6136,ENSG00000197958
1.662655983929084e-201,-0.40421076105312,0.804,0.865,2.0505536249797392e-197,BTG1,694,ENSG00000133639
3.759615201933165e-197,-1.421644222183776,0.109,0.217,4.636733428544172e-193,S100A8,6279,ENSG00000143546
2.516932019860505e-195,-0.4414699725833433,0.801,0.867,3.104132260093961e-191,TSC22D3,1831,ENSG00000157514
1.774866258737379e-184,0.4346512553668691,0.807,0.745,2.1889425569008088e-180,RPL36A,6173,ENSG00000241343
1.5230158522104651e-181,0.3947544130525493,0.877,0.834,1.8783354505311664e-177,IFITM2,10581,ENSG00000185201
9.308145513549287e-181,0.31711747336656515,0.878,0.837,1.1479735861860333e-176,ATP5F1E,514,ENSG00000124172
2.586547833224719e-179,-2.6455734251435064,0.012,0.065,3.189989442716046e-175,ITGA2B,3674,ENSG00000005961
5.585297687224789e-174,-0.587509293102022,0.429,0.561,6.88834763765433e-170,PARP8,79668,ENSG00000151883
7.861216387826792e-168,0.2734336727262656,0.93,0.916,9.695238171106782e-164,RPL36,25873,ENSG00000130255
1.2824740480242825e-166,0.21912649880989132,0.966,0.97,1.5816752434283478e-162,RPL10,6134,ENSG00000147403
3.672682551476354e-165,-1.825884283644196,0.061,0.142,4.529519390735787e-161,S100A9,6280,ENSG00000163220
5.637794494219503e-165,-0.43528197776227495,0.683,0.768,6.953091949720914e-161,ZFP36L2,678,ENSG00000152518
2.6300060851939526e-164,-2.2387296352095394,0.013,0.064,3.2435865048697014e-160,MZB1,51237,ENSG00000170476
7.965179834641602e-163,-1.785801913369457,0.03,0.095,9.823456290063488e-159,VCAN,1462,ENSG00000038427
1.3520911038195186e-162,-0.7773291719410911,0.229,0.352,1.6675339583406127e-158,SMAP2,64744,ENSG00000084070
8.088282122002321e-158,-1.4680241818911837,0.017,0.071,9.975278341065462e-154,GATD3,8209,ENSG00000160221
3.7790607552178417e-157,-0.5564971393674061,0.419,0.545,4.6607156294101643e-153,SYTL3,94120,ENSG00000164674
7.135449870708274e-156,-0.5520072734976698,0.392,0.517,8.800150325544513e-152,ISG20,3669,ENSG00000172183
